"Front","Back","Why","Tags","IntrinsicDifficulty"
"What is React reconciliation?","Reconciliation is React's diffing process that compares the previous and next virtual DOM trees and applies the minimal real DOM changes.","Because real DOM updates are expensive, this strategy improves rendering performance and keeps UI updates predictable.","react rendering","2"
"Why does React use a Virtual DOM?","The virtual DOM lets React batch and optimize UI updates before touching the browser DOM.","That reduces unnecessary layout and paint work, which improves responsiveness as UIs become more dynamic.","react architecture","2"
"What does useEffect handle?","useEffect handles side effects such as network calls, subscriptions, timers, and manual DOM integrations after render.","It keeps render logic pure while placing external effects in a controlled lifecycle with cleanup support.","react hooks","2"
"What causes unnecessary React re-renders?","Common causes are unstable object/function references, broad parent re-renders, and state updates that do not change visible output.","Avoiding avoidable renders improves frame time and reduces wasted CPU work in complex component trees.","react performance","2"
"What is Angular change detection?","Angular change detection checks bound values and updates the DOM when application state changes.","It ensures templates stay synchronized with model state without manual DOM manipulation.","angular rendering","2"
"What is dependency injection?","Dependency injection supplies collaborators from outside a class rather than creating them internally.","That lowers coupling, makes dependencies explicit, and enables easier unit testing with mocks or fakes.","spring architecture","2"
"What does @Transactional do?","@Transactional defines a transaction boundary so operations inside the method commit together or roll back on failure.","It preserves data consistency and simplifies error handling for multi-step persistence logic.","spring transactions","3"
"What problem does the Strategy pattern solve?","Strategy defines interchangeable algorithms behind a shared interface so behavior can vary at runtime.","It removes large conditionals and keeps algorithm-specific logic isolated and testable.","design-patterns behavioral","2"
"What is horizontal scaling?","Horizontal scaling increases capacity by adding more service instances instead of upgrading a single node.","It improves elasticity and fault tolerance by distributing load across independent machines.","system-design scaling","3"
"What is caching?","Caching stores frequently accessed data closer to compute so repeated reads avoid slower backing systems.","Done well, it lowers latency and protects databases/services from repeated hot-path traffic.","system-design performance","3"
"What is idempotency?","Idempotency means repeating the same operation request yields the same end state as doing it once.","It is essential for safe retries in distributed systems where timeouts and duplicate delivery happen.","api reliability","2"
"What is AWS API Gateway?","AWS API Gateway is a managed service for creating REST, HTTP, and WebSocket APIs with routing, throttling, and auth integration.","It accelerates API delivery while reducing operational overhead for scaling and security controls.","aws api","2"
"What is DynamoDB?","DynamoDB is AWS's managed key-value/document NoSQL database with low-latency access at scale.","It is optimized for predictable performance, partitioned scale-out, and high availability.","aws database","2"
"What is BEM naming?","BEM is a CSS naming convention using Block, Element, and Modifier segments to model component structure.","It keeps selectors predictable and reduces cascade conflicts as stylesheets grow.","css architecture","1"
"What is CAP theorem?","CAP states that under a network partition, a distributed system must choose between strong consistency and high availability.","It frames practical tradeoffs for replication and consistency design in partition-prone networks.","distributed-systems theory","4"
