"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Tags","IntrinsicDifficulty"
"What is the difference between clustered and non-clustered indexes?","A clustered index determines the physical order of data, while a non-clustered index stores a separate lookup structure.","Understanding index types is key to query performance tuning.","When optimizing read-heavy queries or large tables.","Clustered index affects storage; only one allowed. Non-clustered adds overhead.","People assume all indexes behave the same.","Designing indexes for a large transactional table.","database indexing","4"
"What is a query execution plan?","A query execution plan shows how the database will execute a query, including scans, joins, and index usage.","It is the primary tool for diagnosing performance issues.","When queries are slow or inefficient.","Requires interpretation and DB-specific knowledge.","People ignore execution plans and guess.","Debugging a slow SQL query.","database performance","3"
"What is the difference between INNER JOIN and LEFT JOIN?","INNER JOIN returns matching rows only, while LEFT JOIN returns all rows from the left table plus matches.","Choosing the wrong join can change results and performance.","When combining related datasets.","LEFT JOIN can introduce nulls and larger datasets.","Using LEFT JOIN when INNER JOIN is sufficient.","Joining orders with customers.","database joins","2"
"What is a full table scan?","A full table scan reads every row in a table.","It is often a sign of missing indexes.","When no suitable index exists.","Expensive for large datasets.","Assuming DB will optimize automatically.","Query filtering without index.","database performance","3"
"What is a deadlock?","A deadlock occurs when two transactions block each other indefinitely.","It causes transaction failure and rollback.","When multiple transactions lock resources in different order.","Requires retry logic.","Ignoring transaction ordering.","Two updates locking rows in reverse order.","database concurrency","4"
"What is normalization?","Normalization organizes data to reduce redundancy.","Improves data integrity.","When designing relational schemas.","Too much normalization hurts performance.","Over-normalizing early.","Designing user and order tables.","database design","2"
"What is a foreign key?","A foreign key enforces relationships between tables.","Maintains referential integrity.","When modeling relational data.","Adds constraints and overhead.","Avoiding constraints for speed.","Orders referencing users.","database design","2"
"What is a materialized view?","A materialized view stores query results physically.","Improves performance for repeated queries.","When queries are expensive and repeated.","Needs refresh logic.","Forgetting to refresh data.","Reporting dashboards.","database performance","3"
"What is ACID?","Atomicity, Consistency, Isolation, Durability.","Defines transaction guarantees.","When working with relational DBs.","Stronger guarantees reduce performance.","Assuming all DBs fully support ACID.","Financial transactions.","database transactions","3"
"What is isolation level?","Isolation level controls visibility of changes between transactions.","Prevents concurrency issues.","When handling concurrent operations.","Higher isolation reduces performance.","Using highest isolation unnecessarily.","Concurrent updates to same row.","database transactions","4"
"What is a covering query?","A query fully satisfied by an index.","Avoids table lookup.","When optimizing performance.","Requires larger indexes.","Ignoring index design.","High-frequency lookup query.","database indexing","3"
