"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Tags","IntrinsicDifficulty"
"What is the difference between clustered and non-clustered indexes?","A clustered index defines the physical order of rows in the table, while a non-clustered index stores a separate structure with keys and row pointers.","This matters because the index type changes how the database reads data, how many indexes you can create efficiently, and how much extra work writes must do.","Use a clustered index on columns that align with common range scans, primary access patterns, or natural row ordering. Use non-clustered indexes to support additional lookup patterns.","A clustered index can speed range reads but makes page splits and write patterns more important. Non-clustered indexes improve reads but consume storage and slow inserts, updates, and deletes.","The mistake is assuming all indexes behave the same. That is wrong because clustered indexes affect table storage itself, while non-clustered indexes are separate access paths. If you ignore that, you can design indexes that help one query but hurt overall write performance.","A large orders table is queried mostly by order date ranges, but also sometimes by customer ID.","database sql indexing performance","4"
"What is a query execution plan?","A query execution plan is the database engine's strategy for running a query, including scans, seeks, joins, sorts, and estimated row counts.","This matters because slow SQL is usually fixed by understanding what the optimizer actually did, not by guessing based on query text alone.","Use execution plans whenever a query is slower than expected, behaves differently across environments, or regresses as data volume grows.","Execution plans expose the real bottleneck, but they take experience to interpret correctly and can change as data distribution changes.","The mistake is tuning queries by instinct without checking the plan. That is wrong because the optimizer may be doing a full scan, bad join order, or expensive sort you would never notice from the SQL alone. If you skip the plan, you often fix the wrong thing.","A report query that ran fine at 100k rows becomes unusably slow at 20 million rows.","database sql performance tuning","4"
"What is the difference between INNER JOIN and LEFT JOIN?","INNER JOIN returns only rows with matches on both sides, while LEFT JOIN returns all rows from the left side and matching rows from the right side when they exist.","This matters because the join choice changes both the result set and the amount of data the database has to process.","Use INNER JOIN when unmatched rows should be excluded. Use LEFT JOIN when you must preserve all rows from the left table even if related data is missing.","LEFT JOIN is more flexible for optional relationships, but it can increase row counts, introduce null handling, and make queries heavier than necessary.","The mistake is using LEFT JOIN by default 'just in case.' That is wrong because it often returns more data, hides logic errors, and can block optimizer simplifications. If you do it unnecessarily, you pay more cost and make bugs harder to spot.","You need a list of all customers, including those who have never placed an order.","database sql joins","2"
"What is a full table scan?","A full table scan happens when the database reads most or all rows in a table instead of jumping directly to matching data through an index.","This matters because scans can be acceptable on small tables but become a major latency and IO problem on large ones.","Use this concept when diagnosing slow queries, especially queries with filters, joins, or sorts that should be selective but are not using indexes.","Scans are simple and sometimes optimal, but on large tables they increase IO, CPU, and contention compared with a selective seek.","The mistake is thinking a scan is always bad. That is wrong because scans can be correct for tiny tables or broad queries. The real problem is an unnecessary scan on large data. If you treat every scan as a bug, you may over-index and hurt writes.","A query filters a 50-million-row table by a column that has no useful index.","database sql performance","3"
"What is a deadlock?","A deadlock occurs when two or more transactions each hold locks the others need, so none can continue until the database aborts one.","This matters because deadlocks cause failed transactions in production even when the SQL is logically correct.","Use this concept when multiple transactions update shared resources, especially when they lock rows in different orders.","Strict locking protects consistency, but it increases the chance of blocking and deadlocks under concurrency.","The mistake is treating deadlocks as random database glitches. That is wrong because deadlocks usually reflect application access patterns or transaction design. If you ignore the root cause, users keep seeing retries, rollbacks, and intermittent failures.","Two services update account and invoice rows in opposite order during the same business workflow.","database sql transactions concurrency","4"
"What is normalization?","Normalization structures relational data into tables that reduce redundancy and prevent update anomalies by separating distinct concepts and relationships.","This matters because good normalization improves consistency, keeps data changes predictable, and prevents contradictory values from spreading across the schema.","Use normalization when designing relational schemas that need integrity, clear ownership of data, and reliable transactional updates.","Normalization improves correctness and maintainability, but too much decomposition can increase joins and slow read-heavy paths.","The mistake is thinking normalization is always either perfect or bad. That is wrong because normalization is a tradeoff between integrity and query shape. If you overdo it, reads become expensive; if you skip it, updates become messy and inconsistent.","Designing customer, address, and order tables for a transactional application.","database sql design normalization","3"
"What is a foreign key?","A foreign key is a constraint that requires a value in one table to match a valid key in another table, enforcing a real relationship between rows.","This matters because it protects referential integrity and prevents orphaned or invalid references from entering the system.","Use foreign keys when relational integrity matters and the database should enforce valid relationships directly.","Foreign keys improve correctness and simplify trust in the data, but they can add overhead to writes and complicate bulk loading or distributed write patterns.","The mistake is removing foreign keys just to make inserts faster. That is wrong because you trade short-term write speed for long-term data corruption risk. If the application misses one edge case, invalid references accumulate and are hard to clean up.","Orders must always point to a valid customer record.","database sql design constraints","2"
"What is a materialized view?","A materialized view stores the precomputed results of a query so repeated reads do not have to recompute expensive joins or aggregations every time.","This matters because it can dramatically speed reporting and dashboard workloads that repeatedly ask the same expensive question.","Use a materialized view when the query is costly, the result is reused often, and slightly stale data is acceptable or refresh can be managed.","You gain read speed and lower query cost, but you add storage, refresh complexity, and the risk of stale results between refreshes.","The mistake is treating a materialized view like always-live data. That is wrong because its value depends on refresh strategy. If users assume it is current and it is not, they make decisions on stale information.","A dashboard repeatedly aggregates daily sales totals across several joined tables.","database sql performance reporting","3"
"What is ACID?","ACID stands for Atomicity, Consistency, Isolation, and Durability, which are the core guarantees a transactional database aims to provide.","This matters because these guarantees explain why relational databases are trusted for workflows where correctness matters more than raw throughput.","Use ACID thinking when evaluating transactional systems such as payments, inventory updates, booking workflows, or any multi-step operation that must remain correct under failure.","ACID improves trust and correctness, but stronger transactional guarantees often reduce throughput, increase locking, and make horizontal scaling harder.","The mistake is assuming 'ACID' means free correctness in all architectures. That is wrong because application logic, transaction scope, and distributed boundaries still matter. If you rely on the acronym instead of real design, you can still build inconsistent systems.","Transferring funds between two accounts while ensuring no partial update is visible or persisted.","database sql transactions","3"
"What is an isolation level?","An isolation level controls how much one transaction can see the intermediate effects of other concurrent transactions.","This matters because concurrency bugs often come from choosing an isolation level that is too weak or too strong for the workload.","Use isolation levels when balancing correctness and performance in transactional systems with concurrent reads and writes.","Higher isolation prevents more anomalies but increases locking, blocking, retries, or resource use. Lower isolation improves throughput but allows more surprising read behavior.","The mistake is always choosing the highest isolation level 'for safety.' That is wrong because it can reduce throughput and increase contention dramatically. If you do it everywhere, you may solve rare anomalies by creating constant latency problems.","An application reads inventory counts while other transactions are updating them at high volume.","database sql transactions concurrency","4"
